id	E17.5KO1	E17.5KO2	E17.5KO3	E17.5WT1	E17.5WT2	E17.5WT3
1415670_at	11.08816735	10.85656605	11.15111756	11.33167659	11.2270277	11.29766337
1415671_at	11.90269476	11.77891968	11.79244709	11.76046137	11.62636111	11.31632737
1415672_at	12.22274621	12.13840136	12.23329912	12.07416775	12.17173998	12.11262614
1415673_at	10.03932786	9.530968163	10.08764691	9.628228953	9.519445983	9.717242789
1415674_a_at	10.38158402	10.10621085	10.29808542	10.2917836	10.03016876	9.922604611
1415675_at	10.17514679	10.12379509	10.11763184	10.00069101	9.987727837	9.924004419
1415676_a_at	11.9240154	11.94551658	11.97584895	11.98745929	12.02561075	11.89440892
1415677_at	10.1703576	10.06753281	10.24895393	10.56775836	10.34731695	10.24427293
1415678_at	11.26449291	11.29163383	11.30756429	11.17409727	11.32004807	11.38545841
1415679_at	12.08990395	12.187882	12.14368787	12.10140617	12.26189139	12.19803529
1415680_at	10.42554787	10.63982169	10.65260625	10.62263278	10.58408492	10.54429619
1415681_at	10.95255639	10.8709889	10.9196001	10.81928085	10.73722355	10.51680741
1415682_at	9.807036789	9.87945558	9.87478848	9.795261552	9.47018307	9.675758884
1415683_at	11.58536277	11.64849938	11.60067245	11.47854226	11.44941832	11.42998671
1415684_at	9.595264742	9.558166182	9.419913832	9.294356015	9.456835465	9.37234836
1415685_at	10.4659572	10.49935486	10.44312887	10.19677569	10.31265179	10.36254483
1415686_at	10.92294519	10.92129146	11.04835529	10.95125389	11.03377105	11.08249793
1415687_a_at	12.8421401	12.85888435	12.94069772	12.90812558	12.71780881	12.72930586
1415688_at	11.61588979	11.57478131	11.51257165	11.56248879	11.38561659	11.28639946
1415689_s_at	9.711307262	9.836042188	9.650077553	9.48647492	9.64452423	9.742240113
1415690_at	11.44930956	11.450471	11.54055246	11.2315417	11.1433792	11.26951644
1415691_at	11.26536231	11.3745321	11.25163256	11.31838919	11.42263671	11.31897491
1415692_s_at	12.59327069	12.62320125	12.56977882	12.65880448	12.71915809	12.24031333
1415693_at	10.10464103	9.987432387	10.21986359	10.21702225	10.03279266	9.93107257
1415694_at	9.341718261	9.262218348	9.525436766	9.481707552	9.235161777	9.258966508
1415695_at	12.25002898	12.14655436	12.29989612	11.99656029	12.10267179	12.03721551
1415696_at	11.93644729	12.00475008	12.06259151	11.98065196	11.94123723	11.98183462
1415697_at	10.4843165	10.55755747	10.38329288	10.68803923	10.59859585	10.36007554
1415698_at	9.747386808	9.722547311	9.569525338	9.811691541	9.910295086	9.957592986
1415699_a_at	11.25823456	11.46280432	11.41211983	11.54972244	11.70242365	11.48714415
1415700_a_at	12.83765779	12.77707437	12.93142753	12.74601337	12.90776847	12.98388173
